gemeenteId;provincieId;taalCodeProvincieNaam;provincieNaam
168;3;nl;Waals-Brabant
168;3;fr;Brabant Wallon
169;3;nl;Waals-Brabant
169;3;fr;Brabant Wallon
170;3;nl;Waals-Brabant
170;3;fr;Brabant Wallon
171;3;nl;Waals-Brabant
171;3;fr;Brabant Wallon
172;3;nl;Waals-Brabant
172;3;fr;Brabant Wallon
173;3;nl;Waals-Brabant
173;3;fr;Brabant Wallon
174;3;nl;Waals-Brabant
174;3;fr;Brabant Wallon
175;3;nl;Waals-Brabant
175;3;fr;Brabant Wallon
176;3;nl;Waals-Brabant
176;3;fr;Brabant Wallon
177;3;nl;Waals-Brabant
177;3;fr;Brabant Wallon
178;3;nl;Waals-Brabant
178;3;fr;Brabant Wallon
179;3;nl;Waals-Brabant
179;3;fr;Brabant Wallon
180;3;nl;Waals-Brabant
180;3;fr;Brabant Wallon
181;3;nl;Waals-Brabant
181;3;fr;Brabant Wallon
182;4;nl;West-Vlaanderen
182;4;fr;Flandre Occidentale
183;4;nl;West-Vlaanderen
183;4;fr;Flandre Occidentale
184;4;nl;West-Vlaanderen
184;4;fr;Flandre Occidentale
185;4;nl;West-Vlaanderen
185;4;fr;Flandre Occidentale
186;4;nl;West-Vlaanderen
186;4;fr;Flandre Occidentale
187;4;nl;West-Vlaanderen
187;4;fr;Flandre Occidentale
188;4;nl;West-Vlaanderen
188;4;fr;Flandre Occidentale
189;4;nl;West-Vlaanderen
189;4;fr;Flandre Occidentale
190;4;nl;West-Vlaanderen
190;4;fr;Flandre Occidentale
191;4;nl;West-Vlaanderen
191;4;fr;Flandre Occidentale
192;4;nl;West-Vlaanderen
192;4;fr;Flandre Occidentale
193;4;nl;West-Vlaanderen
193;4;fr;Flandre Occidentale
194;4;nl;West-Vlaanderen
194;4;fr;Flandre Occidentale
195;4;nl;West-Vlaanderen
195;4;fr;Flandre Occidentale
196;4;nl;West-Vlaanderen
196;4;fr;Flandre Occidentale
197;4;nl;West-Vlaanderen
197;4;fr;Flandre Occidentale
198;4;nl;West-Vlaanderen
198;4;fr;Flandre Occidentale
199;4;nl;West-Vlaanderen
199;4;fr;Flandre Occidentale
200;4;nl;West-Vlaanderen
200;4;fr;Flandre Occidentale
201;4;nl;West-Vlaanderen
201;4;fr;Flandre Occidentale
202;4;nl;West-Vlaanderen
202;4;fr;Flandre Occidentale
203;4;nl;West-Vlaanderen
203;4;fr;Flandre Occidentale
204;4;nl;West-Vlaanderen
204;4;fr;Flandre Occidentale
205;4;nl;West-Vlaanderen
205;4;fr;Flandre Occidentale
206;4;nl;West-Vlaanderen
206;4;fr;Flandre Occidentale
207;4;nl;West-Vlaanderen
207;4;fr;Flandre Occidentale
208;4;nl;West-Vlaanderen
208;4;fr;Flandre Occidentale
209;4;nl;West-Vlaanderen
209;4;fr;Flandre Occidentale
210;4;nl;West-Vlaanderen
210;4;fr;Flandre Occidentale
211;4;nl;West-Vlaanderen
211;4;fr;Flandre Occidentale
212;4;nl;West-Vlaanderen
212;4;fr;Flandre Occidentale
213;4;nl;West-Vlaanderen
213;4;fr;Flandre Occidentale
214;4;nl;West-Vlaanderen
214;4;fr;Flandre Occidentale
215;4;nl;West-Vlaanderen
215;4;fr;Flandre Occidentale
216;4;nl;West-Vlaanderen
216;4;fr;Flandre Occidentale
217;4;nl;West-Vlaanderen
217;4;fr;Flandre Occidentale
218;4;nl;West-Vlaanderen
218;4;fr;Flandre Occidentale
219;4;nl;West-Vlaanderen
219;4;fr;Flandre Occidentale
220;4;nl;West-Vlaanderen
